FIPS,State,County,Attribute,Value
1000,AL,Alabama,Age65AndOlderNum2020,864663
1001,AL,Autauga,Age65AndOlderNum2020,9217
1003,AL,Baldwin,Age65AndOlderNum2020,48517
1005,AL,Barbour,Age65AndOlderNum2020,4963
1007,AL,Bibb,Age65AndOlderNum2020,3693
1009,AL,Blount,Age65AndOlderNum2020,10918
1011,AL,Bullock,Age65AndOlderNum2020,1766
1013,AL,Butler,Age65AndOlderNum2020,3938
1015,AL,Calhoun,Age65AndOlderNum2020,20924
1017,AL,Chambers,Age65AndOlderNum2020,6957
1019,AL,Cherokee,Age65AndOlderNum2020,5880
1021,AL,Chilton,Age65AndOlderNum2020,7638
1023,AL,Choctaw,Age65AndOlderNum2020,2941
1025,AL,Clarke,Age65AndOlderNum2020,4670
1027,AL,Clay,Age65AndOlderNum2020,2960
1029,AL,Cleburne,Age65AndOlderNum2020,2981
1031,AL,Coffee,Age65AndOlderNum2020,9141
1033,AL,Colbert,Age65AndOlderNum2020,11408
1035,AL,Conecuh,Age65AndOlderNum2020,2702
1037,AL,Coosa,Age65AndOlderNum2020,2490
1039,AL,Covington,Age65AndOlderNum2020,7987
1041,AL,Crenshaw,Age65AndOlderNum2020,2555
1043,AL,Cullman,Age65AndOlderNum2020,16320
1045,AL,Dale,Age65AndOlderNum2020,8531
1047,AL,Dallas,Age65AndOlderNum2020,7266
1049,AL,DeKalb,Age65AndOlderNum2020,12452
1051,AL,Elmore,Age65AndOlderNum2020,13928
1053,AL,Escambia,Age65AndOlderNum2020,6681
1055,AL,Etowah,Age65AndOlderNum2020,19748
1057,AL,Fayette,Age65AndOlderNum2020,3499
1059,AL,Franklin,Age65AndOlderNum2020,5392
1061,AL,Geneva,Age65AndOlderNum2020,5487
1063,AL,Greene,Age65AndOlderNum2020,1816
1065,AL,Hale,Age65AndOlderNum2020,2899
1067,AL,Henry,Age65AndOlderNum2020,3939
1069,AL,Houston,Age65AndOlderNum2020,19398
1071,AL,Jackson,Age65AndOlderNum2020,10783
1073,AL,Jefferson,Age65AndOlderNum2020,109171
